Company,Founder/CEO,Approx no. Employees,Change In Rank,Years on Fortune 500,BW logo URL,White on Black,Theme color,Theme Image
Best Buy,Richard M. Schulze Corie Barry,"71,100",-53,25,https://cdn.freebiesupply.com/images/large/2x/best-buy-logo-black-transparent.png,,,
Bristol-Myers Squibb,"E. R. Squibb, William McLaren Bristol, John Ripley Myers, Chris Boerner","34,300",-11,20,https://spectrumhired.com/media/com_bsjobs/images/employer/download-6.png,,,
Susun Construction Group,Yan Jiehe,"151,135",-14,2,https://image0.lietou-static.com/bg_white_192x192/5d8c605a28021708fa58b8bc03u.jpg,,,
Ingka Group,"Ingvar Kamprad, Jesper Brodin","177,192",-27,3,https://1000logos.net/wp-content/uploads/2022/12/IKEA-Logo-1967.png,,,
ZF Friedrichshafen,"Ferdinand von Zeppelin, Dr. Holger Klein","161,901",-5,10,https://boldlygo.de/sites/default/files/images/references/logo_btexx-referenz_zf_new.png,TRUE,,
Swiss Re,"Lukas Muehlemann, Christian Mumenthaler","14,408",-20,29,https://cdn1.vc4a.com/media/2017/09/SR_F_Logo_Black1-1.jpg,,,
EXOR Group,"Giovanni Agnelli, John Elkann","80,932",-24,13,https://www.exor.com/sites/default/files/styles/medium/public/companies_logos/LOGO%20BLACK.png?itok=8_WZvqS8,,,
Banco Bilbao Vizcaya Argentaria,Onur Genç,"115,675",34,29,https://querohoje.com/wp-content/uploads/2024/03/Tarjeta-BBVA-Mastercard-Black.png,,,
Orange,"Hans Roger Snook, Christel Heydemann","130,307",-48,29,https://www.kaliop.com/app/uploads/2019/01/orange_black.png,,,
Jingye Group,"Li Ganpo, Li Huiming","31,000",66,3,https://i.ytimg.com/vi/_14qfclrmsU/sddefault.jpg,,,
Sumitomo Mitsui Financial Group,"Toru Nakashima, Masatomo Sumitomo","111,381",67,29,https://images.squarespace-cdn.com/content/v1/5b6a53dbaf2096e0c590b250/1535072851566-XU5S13NBJXZK481IUWOV/logo-sumitomo.gif,,,
GS Caltex,Heo Se Hong,"3,322",148,11,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQKB3zI4eQ1SsiZxi-_R56PORfz4dJILr9tAyYbVf-92lVBUlu-,,,
China Huadian,Wen Shugang,"92,857",3,12,https://upload.wikimedia.org/wikipedia/en/7/78/China_Huadian_Corporation%28CHD%29_logo.svg,,,
Veolia Environnement,"Napoléon III, Estelle Brachlianoff","202,210",103,21,https://mir-s3-cdn-cf.behance.net/project_modules/disp/1d590075308705.5c48d6ef22390.png,TRUE,,
Barclays,"John Freame, Thomas Gould, C. S. Venkatakrishnan","87,400",49,29,https://www.svgrepo.com/show/330033/barclays.svg,,,
United Airlines Holdings,"William Boeing, Scott Kirby","92,795",–,26,https://companieslogo.com/img/orig/UAL.D-45780229.png?t=1720244494,TRUE,,
Suncor Energy,"Karl Clark, Rich Kruger","16,558",130,13,https://automationx.ca/wp-content/uploads/2020/02/aa.png,TRUE,,
Thermo Fisher Scientific,"Chester Garfield Fisher, Marc N. Casper","130,000",27,4,https://cdn.prod.website-files.com/5d0ce7a3fddaa9ae223f0f92/5dcb1eed704094104bcf79fb_Thermo_Logo_300x150.png,TRUE,,
China Minsheng Banking,"Jing Shuping, Yingxin Gao","62,615",-56,11,https://img.favpng.com/2/8/16/china-minsheng-bank-industrial-and-commercial-bank-of-china-finance-agricultural-bank-of-china-png-favpng-XB8EXANp02NftG5RUKvgUtskn.jpg,,,
ThyssenKrupp,Martina Merz,"96,494",14,29,https://www.idesis.de/wp-content/uploads/2020/12/Thyssenkrupp_AG_Logo_2015.png,TRUE,,
AstraZeneca,Pascal Soriot,"83,500",50,22,https://cdn-icons-png.freepik.com/512/5968/5968203.png,,,
Vale,Eduardo Bartolomeo,"64,516",-101,17,https://cdn.iconscout.com/icon/free/png-256/free-vale-3442758-2875561.png?f=webp&w=256,,,
Pegatron,Liao Syh-jang,"161,836",-22,11,https://openinventionnetwork.com/wp-content/uploads/2021/02/Pegatron_Logo.jpg,TRUE,,
Qualcomm,"Irwin M. Jacobs (deceased), Andrew Viterbi, Cristiano R. Amon","51,000",95,6,https://seekvectorlogo.com/wp-content/uploads/2018/02/qualcomm-vector-logo.png,,,
Woolworths Group,"Percy Christmas (deceased), Cecil Scott Waine (deceased), Brad Banducci","197,773",-63,27,https://companieslogo.com/img/orig/WOW.AX.D-e7bd77a1.png?t=1720244494,TRUE,,
George Weston,"George Weston (deceased),Galen G. Weston","221,285",-17,29,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTto-kBxmE0p_LF5HBZz1MOYvp-2hc6WXmZ4jm3TPlarHDbGv-T,,,
Tata Motors,"Jehangir Ratanji Dadabhoy Tata(deceased), Guenter Butschek","81,811",33,14,https://gallerypng.com/wp-content/uploads/2024/05/black-tata-logo-png-image-300x300.png,,,
Abbott Laboratories,"Dr. Wallace C. Abbott (deceased), Robert B. Ford","115,000",-13,25,https://cdn-icons-png.flaticon.com/512/5968/5968173.png,,,
KB Financial Group,Yoon Jong-Kyoo,"25,876",43,11,https://www.marketscreener.com/static/private-issuer-squared-6PINV.png,,,
SNCF Group,Jean-Pierre Farandou,"276,271",-5,29,https://e7.pngegg.com/pngimages/663/504/png-clipart-transport-express-regional-tgv-sncf-reseau-logo-train-tgv-label-text-thumbnail.png,,,
China South Industries Group,Gong Yande,"156,613",-26,14,https://www.ciie.org/buy/img/virtual/buyer/2021/10/27/3BF6FF25724E1E2F9AF1F98288E127E4.png,,,
Chubb,"Thomas Caldecot Chubb (deceased), Evan G. Greenberg","34,000",-4,7,https://www.liblogo.com/img-logo/ch7492c10f-chubb-logo-chubb-insurance-review-great-service-at-a-high-price-valuepenguin.png,,,
GSK,"Thomas Beecham (deceased), John K. Smith (deceased), Emma Walmsley","69,400",-49,29,https://static.wikia.nocookie.net/logopedia/images/a/aa/GSK_logo_2014_%28print%29.svg/revision/latest/scale-to-width-down/250?cb=20240414044323,,,
Coca-Cola,"John Stith Pemberton (deceased), James Quincey","82,500",15,29,https://brandslogos.com/wp-content/uploads/images/large/coca-cola-logo-black-and-white.png,,,
Quanta Computer,"Barry Lam,Barry Lam","67,979",4,18,https://companieslogo.com/img/orig/2382.TW.D-136a5016.png?t=1720244490,TRUE,,
Fresenius,"Eduard Fresenius, Helen Giza","282,024",-30,14,https://companieslogo.com/img/orig/FMS.D-7c032f94.png?t=1720244491,TRUE,,
UBS Group,Sergio Ermotti,"72,597",-2,29,https://cdn.zonebourse.com/static/instruments-logo-18740542,,,
Jiangsu Shagang Group,Shen Wenrong,"45,203",-57,15,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRfyoeV5i-OaOCH7sQ3OPywfQIG-13VY0Uzgt9HdYA8EOsAPDxf,,,
America Movil,"Carlos Slim Helu, Daniel Hajj Aboumrad","176,014",-74,17,https://markettalkz.com/wp-content/uploads/2024/06/AMX-Stock-Price-Prediction.webp,TRUE,,
Mizuho Financial Group,Masahiro Kihara,"51,258",54,23,https://companieslogo.com/img/orig/MFG_BIG.D-e1796877.png?t=1720244492,TRUE,,
Shanghai Construction Group,-.Mr. Xu Zheng,"51,353",-30,4,"https://res.cloudinary.com/protenders/image/upload/s--wmYOgT4_--/c_limit,d_default_logo,dpr_auto,f_auto,fl_progressive:semi,q_auto:eco,w_auto:100/9cea2eb6b996c13aef64fccee7399a91.png",,,
Oracle,"Larry Ellison, Safra Catz","143,000",-4,17,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7kCkZL5y48u9MxCZvcEyBu0bGZ2nSEOegow&s,,,
Rajesh Exports,"Rajesh Mehta, Prashant Mehta",135,84,8,https://evaluateresearch.com/wp-content/plugins/images-thumbnail-sliderv1/imagestoscroll/image002.jpg,,,
Deutsche Bank,"Adelbert Delbrück (deceased), Ludwig Bamberger (deceased), Christian Sewing","84,930",-4,29,https://cdn.icon-icons.com/icons2/3914/PNG/512/deutschebank_logo_icon_249040.png,,,
Telefónica,José María Álvarez-Pallete López,"103,651",-55,29,https://companieslogo.com/img/orig/TEF.D-e2e5cef6.png?t=1720244494,TRUE,,
China National Coal Group,Li Yanjiang,"147,293",-59,4,https://resourcewebsite.singoo.cc/attachment/60d96bc9a0e07.jpg,,,
KDDI,Makoto Takahashi,"49,659",-76,26,https://cdn.freebiesupply.com/logos/large/2x/kddi-logo-black-and-white.png,,,
Zurich Insurance Group,Mario Greco,"59,498",-179,29,https://ih.advfn.com/common/images/company/NO_ZURVY.png,,,
Shanxi Coking Coal Group,Jian Ze Zhao,"214,769",72,10,https://media.licdn.com/dms/image/C560BAQFZfCVUTT1_WA/company-logo_200_200/0/1617259264202?e=2147483647&v=beta&t=611cNXH0v0jgi1k6lyaSXHwxaIO1pwtnTuJJYRqhmQE,,,
Xiaomi,"Lei Jun,Lei Jun","32,543",-94,5,https://cdn.icon-icons.com/icons2/3915/PNG/512/xiaomi_logo_icon_249144.png,,,
Nucor,"Ken Iverson, Leon J. Topalian II","31,400",28,4,https://www.fierf.org/uploaded/tinymce/media/Company%20Logos/Nucor_Black.jpg,,,
Continental,Nikolai Setzer,"199,038",-50,21,https://cdn.freebiesupply.com/logos/large/2x/continental-3-1-logo-black-and-white.png,TRUE,,
New Hope Holding Group,"Liu Yonghao,Rob Bishop","123,933",-7,3,https://newhopegroup.com.au/wp-content/uploads/NHG_Sun.svg,,,
Kuehne + Nagel International,"August Kühne (deceased), Stefan Paul","75,194",32,2,https://companieslogo.com/img/orig/KNIN.SW.D-0e813284.png?t=1720244492,TRUE,,
Enbridge,Greg Ebel,"12,050",10,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTk6hN2GNlRqKJFUmnHcEICTpe3gPZ-1EHF-w&s,,,
TIAA,"Andrew Carnegie (deceased), Thasunda Brown Duckett","16,070",-19,26,https://cdn.prod.website-files.com/602b1199ad0366aa34b0d515/620547ecec72f493c4a44f4b_tiaa-logo-white.png,TRUE,,
RWE,"Elektrizitäts-Actien-Gesellschaft vorm(deceased), Markus Krebber","18,278",128,27,https://www.rwe.com/-/media/RWE/CMP/RWE-logo-White.png,TRUE,,
China Electronics,Rui Xiaowu,"184,940",-44,13,"https://images.crunchbase.com/image/upload/c_pad,h_256,w_256,f_auto,q_auto:eco,dpr_1/eynjbnuhjsoubwuu5oty",,,
Massachusetts Mutual Life,"George W. Rice (deceased), Roger W. Crandall","10,662",26,26,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkk0GACUuTqKK4hhfmY-z-AgC9eSIOqqujtA&s,,,
L’Oréal,"Eugène Schueller (deceased), Nicolas Hieronimus","87,369",-3,29,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/L%27Or%C3%A9al_logo.svg/1280px-L%27Or%C3%A9al_logo.svg.png,,,
LG Chem,Hak Cheol Shin,"40,000",-2,4,https://getinthering.co/wp-content/uploads/2022/04/Capture.png,TRUE,,
Hyundai Mobis,Sung Hwan Cho,"33,125",18,12,https://seeklogo.com/images/H/hyundai-mobis-logo-52AB7BFD01-seeklogo.com.png,,,
Zijin Mining Group,"Chen Jinghe,Chen Jinghe","48,836",34,3,https://i0.wp.com/borskenarodne.com/wp-content/uploads/2022/03/zijin-logo-1.jpg?fit=1200%2C675&ssl=1,,,
Korea Gas,Yeon Hye Choi,"4,254",–,8,https://i0.wp.com/mozambiqueminingpost.com/wp-content/uploads/2017/01/kologo-eps-vector-image.png?fit=1020%2C680&ssl=1,,,
Meiji Yasuda Life Insurance,"Yasuda Zenjirō, Akio Negishi","47,385",2,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN5WnH0Ok1ZGs8mPiDSwUk597USDDY96UHeQ&s,,,
Olam Group,"Sunny George Verghese, Sunny George Verghese","62,467",30,3,https://companieslogo.com/img/orig/VC2.SI.D-5ac38b4d.png?t=1720244494,TRUE,,
S.F. Holding,"Dick Wong, Dick Wong","162,823",64,2,https://www.gocomet.com/ega/_next/image?url=https%3A%2F%2Fs3.ap-south-1.amazonaws.com%2Fgocomet-images%2Fcarriers%2Flogo%2Fsfexpress.png&w=384&q=75,,,
CPC,Chen Chin-te,"16,682",97,22,https://upload.wikimedia.org/wikipedia/en/f/f1/CPC_%28A_Premier_Farnell_Company%29_logo.gif,,,
General Dynamics,"John Philip Holland (deceased), Frank Holton (deceased), Theodore R. Timby (deceased), Phebe Novakovic","106,500",-18,23,https://companieslogo.com/img/orig/GD.D-18841bdb.png?t=1720244492,TRUE,,
Guangzhou Municipal Construction Group,Liang Huqing,"44,825",-20,3,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS3Lf3GvBgOmcIREmHfW-QVghRnLZerkc-65YS-hfcXLXkMzAaE,,,
China National Nuclear,Lu Tiezhong,"181,700",-17,4,https://pbs.twimg.com/profile_images/1717428250086162432/naY2CY-k_400x400.jpg,,,
JFE Holdings,Eiji Hayashida,"64,241",-24,21,https://seeklogo.com/images/J/jfe-holdings-logo-0A2AF17448-seeklogo.com.png,,,
Intesa Sanpaolo,Carlo Messina,"95,574",-85,25,https://static-00.iconduck.com/assets.00/intesa-icon-256x254-990iscwx.png,,,
MS&AD Insurance Group Holdings,Noriyuki Hara,"38,584",-75,25,https://uspto.report/TM/77875647/mark,,,
China Taiping Insurance Group,Zhang Zhongyi,"68,386",-51,6,https://eodhd.com//img/logos/HK/0966.png,,,
Capital One Financial,"Richard Fairbank, Richard Fairbank","55,943",57,13,https://i0.wp.com/oats.org/wp-content/uploads/2020/04/capitalone_white.png?fit=800%2C278&ssl=1,TRUE,,
HF Sinclair,"HF Sinclair, Timothy Go","5,223",–,1,https://companieslogo.com/img/orig/DINO.D-bdfe3f83.png?t=1720244491,TRUE,,
Phoenix Pharma,"Adolf Merckle, Sven Seidel","35,178",6,13,https://phoenixpharma.co.uk/wp-content/uploads/2022/10/Phoenix-Pharma-Logo_White-e1665654452352.png,TRUE,,
Shudao Investment Group,Tang Yong,"48,713",24,2,https://data.market-clock.com/images/sse_128x128@2x.png,,,
J. Sainsbury,"John James Sainsbury(deceased), Simon Roberts","107,000",-48,29,https://www.seekpng.com/png/full/240-2407375_sainsburys-logo-black-and-white-samsung-logo-white.png,TRUE,,
Shenzhen Investment Holdings,WANG Yuwen,"103,117",-19,4,https://media.licdn.com/dms/image/C560BAQGIp0Z2LSm9rA/company-logo_200_200/0/1630576477860/_logo?e=2147483647&v=beta&t=SSvoNLoNxHv94PGlj93sCuLzu3DbJ_dgL3r9eAXC-Nw,,,
Nutrien,Ken Seitz,"24,700",–,1,https://nutrien-prod-asset.s3.us-east-2.amazonaws.com/s3fs-public/2021-05/Nutrien_Logo_R_White.png,TRUE,,
Dollar General,"J.L. Turner (deceased), Cal Turner (deceased), Todd J. Vasos","170,000",26,6,https://newscenter.dollargeneral.com/assets/2023/09/mobile-logo.png,,,
Magna International,"Frank Stronach, Belinda Stronach, Swamy Kotagiri","158,000",-2,23,https://companieslogo.com/img/orig/MGA_BIG.D-1d56388d.png?t=1637168982,TRUE,,
Jardine Matheson,"William Jardine (deceased), James Matheson (deceased), Benjamin Keswick","425,000",2,24,https://companieslogo.com/img/orig/J36.SI.D-a661e7da.png?t=1720244492,TRUE,,
China Datang,Liang Yongpan,"89,210",15,14,https://www.logo.wine/a/logo/Datang_International_Power_Generation_Company/Datang_International_Power_Generation_Company-Logo.wine.svg,,,
Ecopetrol,Ricardo Roa,"18,903",–,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5EmUpCPrkUce0i5qJNvJxcfNphSMWNXmS8w&s,TRUE,,
X5 Retail Group,Igor Shekhterman,"353,196",79,4,https://companieslogo.com/img/orig/FIVE.ME_BIG.D-8e4278e8.png?t=1720244491,TRUE,,
Power Corp. of Canada,"Arthur J. Nesbitt (deceased), Peter Bronfman (deceased), R. Jeffrey Orr","37,300",-167,25,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Power-Corporation-of-Canada-Logo.svg/2048px-Power-Corporation-of-Canada-Logo.svg.png,,,
China Aerospace Science & Industry,Li Yue,"141,260",-59,8,https://www.hao-ax.com/wp-content/uploads/2021/05/CASIC-Logo.png,,,
GasTerra,Annie Krist,101,–,11,https://logos-download.com/wp-content/uploads/2016/05/GasTerra_logo_logotype.png,,,
Longfor Group Holdings,"Wu Yajun,Chen Xuping","31,565",10,3,https://companieslogo.com/img/orig/0960.HK_BIG-9c911ea9.png?t=1720244490,,,
Arrow Electronics,"Maurice J. Caywood (deceased), Sean J. Kerins","22,300",11,10,https://marketplace.connectwise.com/content/images/thumbs/0002044_arrow-electronics_550.png,,,
Occidental Petroleum,"Armand Hammer (deceased), Irvin Oilton (deceased), Vicki Hollub","11,973",–,16,https://www.tramatm.com/_next/image?url=https%3A%2F%2Ftrama-static.s3.eu-central-1.amazonaws.com%2Fimages%2Fhall-of-fame%2Flogos%2F162-logo.png&w=3840&q=75,,,
Caixa Econômica Federal,Gonzalo Gortázar,"86,959",–,3,https://vivariomarrecife.com.br/wp-content/uploads/2019/01/wiseitTemp990731902887046458.jpg,,,
Mitsubishi Electric,"Yataro Iwasaki, Kei Uruma","149,655",-56,29,https://www.logan-inc.com/wp-content/uploads/2023/09/Mitsubishi_Electric_Heat-Cooling_White.png,TRUE,,
Northwestern Mutual,"John Johnston, Gary Taylor","8,323",-21,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSC3QAPJ1MZkZTVecACbRYN7PHLjs_dBmUKWivHg6QIhAKCUMWt,,,
Travelers Cos.,"James G. Batterson, Alan D. Schnitzer","32,175",1,20,https://pbs.twimg.com/profile_images/1379544188/black_umbrella_400x400.jpg,,,
Shougang Group,Zhu Jimin,"91,165",-82,12,https://upload.wikimedia.org/wikipedia/en/b/b5/Shougang_%28logo%29.png,,,
Hangzhou Iron and Steel Group,Shao Xun Chen,"11,771",-75,2,https://nwzimg.wezhan.cn/contents/sitefiles2037/10187198/images/15208606.jpg,,,
Xinjiang Zhongtai Group,Jiang Hong Yang,"42,193",22,2,https://image.made-in-china.com/318f0j00CTlUqtNKgDuB/NiLHSIZZN9dRYebhR2G-289831651192-hd-hq-mp4.webp,,,
Northrop Grumman,"Jack Northrop (deceased), Thomas V. Jones (deceased), Kathy Warden","95,000",-14,24,https://www.tramatm.com/_next/image?url=https%3A%2F%2Ftrama-static.s3.eu-central-1.amazonaws.com%2Fimages%2Fhall-of-fame%2Flogos%2F165-logo.png&w=3840&q=75,TRUE,,
Guangzhou Industrial Investment Holdings,Zhou Quianding,"88,022",–,1,"https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_2/fcqnahjhoqtmnzt6vngd",,,
Bank of Nova Scotia,L. Scott Thomson,"90,979",41,26,https://play-lh.googleusercontent.com/sRGJ2__K9zvzIoYrc9C792ap8J8h5LEtzrxeU2NBERHru8UTvICZ9ZKMQ_gFR61EL1Q,,,
Hapag-Lloyd,"Albert Ballin and Hapag, Rolf Habben Jansen","14,248",–,1,https://cdn.freebiesupply.com/logos/thumbs/2x/hapag-lloyd-1-logo.png,,,
USAA,Wayne Peacock,"36,820",-38,10,https://www.tramatm.com/_next/image?url=https%3A%2F%2Ftrama-static.s3.eu-central-1.amazonaws.com%2Fimages%2Fhall-of-fame%2Flogos%2F166-logo.png&w=3840&q=75,,,
Daiwa House Industry,"Nobuo Ishibashi, Keiichi Yoshii","49,768",-64,19,https://i.pinimg.com/736x/fc/32/81/fc3281243615d0fedd2e13e96ee67066.jpg,,,
Haier Smart Home,"Zhang Ruimin, Zhang Ruimin","109,586",-14,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVo-EMa1hf-GkMnggO4JmVbXFyzYIJDZzVtA&s,,,
Compal Electronics,Martin Wong,"73,120",-103,12,https://ifdalivestorage.blob.core.windows.net/user-uploads/profile/2079/00000000-0000-0000-0000-000000000000/logo_1167_pt_logo.jpg,,,
Schneider Electric,"Eugène Schneider (deceased), Peter Herweck","135,000",-1,22,https://companieslogo.com/img/orig/SU.PA.D-d8bd8523.png?t=1720244494,TRUE,,
Finatis,Didier Lévêque,"188,864",-42,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScgn4-i3phsiwfu0RiLuVSaaRug7zAkh250g&s,,,
ELO Group,Aloísio Xavier,"166,397",-52,27,https://media.licdn.com/dms/image/D4D0BAQFIVA0Kp-fwsQ/company-logo_200_200/0/1721154211628/elo_group_logo?e=2147483647&v=beta&t=7Ma8FwCCsdKr2SN-v5o4QOXgXy0j9Y9CyrYBqN2lEeE,,,
Naturgy Energy Group,Francisco Reynés Massanet,"7,112",–,13,https://sitab.es/wp-content/uploads/2021/05/naturgy_logo-300x236.png,,,
Honeywell International,"Albert Butz (deceased), Mark C. Honeywell (deceased), Vimal Kapur","97,000",-8,29,https://logos-world.net/wp-content/uploads/2021/02/Honeywell-Logo-1980s-1991.png,,,
Guangzhou Pharmaceutical Holdings,Chuyuan Li,"35,057",41,3,https://cdn.healthtechalpha.com/static/corporatesById/1886.png,,,
Guangdong Guangxin Holdings,Tao Bai,"40,613",–,1,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQQEBoTnsh7Fhm_sh88D7yrpUwmjEw8-tjHwN0JW5KuN9KfLufC,,,
ACS,"Florentino Pérez, Florentino Pérez","116,702",-63,19,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRUot0tCnh0hf1H1o3l0Vygu6A5ZtKVLgHwj_1mUKN1TcNC_jkA,,,
Vibra Energia,Wilson Ferreira Junior,"3,364",–,1,https://cdn.cookielaw.org/logos/9ba66f95-1ff7-4be1-9696-5722e9763974/fc2b45ea-872f-4309-80b5-11b855532502/ea8e8114-5a3e-4076-8927-e9d632f80fc3/vlogo11-removebg-preview.png,TRUE,,
Anglo American,"Ernest Oppenheimer, Duncan Graham Wanblad","105,000",-99,22,https://companieslogo.com/img/orig/AAL.L.D-e189563c.png?t=1720244490,TRUE,,
Taikang Insurance Group,Chen Dongsheng,"59,011",-85,6,https://uspto.report/TM/79267496/mark,,,
Shaanxi Construction Engineering Holding,Qi Chen,"36,715",–,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtGWJ0uiAxwRzaVzsOmAyI1r1ndNeyIjq3Yg&s,,,
Bank of Montreal,"Austin Cuvillier(deceased), Darryl White","46,722",–,13,https://yt3.googleusercontent.com/DKjGmgJARO0Qwuje-3C3iAheNuwiZ_rY-wJY-m10A58uE8yPTypT3r19rDfoBE7uXEAQ2qPD2g=s900-c-k-c0x00ffffff-no-rj,TRUE,,
CRRC Group,Sun Yongcai,"170,184",-49,5,https://wdo.org/wp-content/uploads/LOGO-3.png,,,
Coop Group,"Jean Jenny-Ryffel(deceased), Shirine Khoury-Haq","82,054",-7,14,https://represented.dk/wp-content/uploads/2022/06/Coop.svg,,,
TongLing Nonferrous Metals Group,Pei Jin Jiang,"21,797",-36,5,https://uspto.report/TM/97759971/mark.png,,,
SK Hynix,"Chung Ju-yung, Park Jung-ho","31,944",-64,5,https://pbs.twimg.com/profile_images/1631116069669847040/MLpWBCT4_400x400.jpg,,,
Shanghai Pharmaceuticals Holding,Cao Hua,"47,877",-8,4,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQO2kQKH8Icjs-alRSbfr44_3QxW8Y0cWOdwZnDg9LTrfZ2TMU0,,,
Lufthansa Group,Carsten Spohr,"93,083",–,27,https://seeklogo.com/images/L/Lufthansa-logo-089E111FBD-seeklogo.com.png,,,
Shandong Hi-Speed Group,Wang Xiaodong,"54,097",18,2,https://www.marketscreener.com/static/instruments-logo-6497387,,,
Suzuki Motor,"Michio Suzuki (deceased), Toshihiro Suzuki","70,012",8,29,https://i.ebayimg.com/images/g/cI8AAOxyVaBS-J2y/s-l1200.webp,,,
Mitsubishi Chemical Group,"Yataro Iwasaki (deceased), Manabu Chikumoto","68,639",-41,29,https://2bmsoftware.com/wp-content/uploads/2021/12/Mitsubishi.png,TRUE,,
3M,"William McKnight (deceased), John Dwan (deceased), Michael F. Roman","92,000",-41,29,https://logowik.com/content/uploads/images/3m-black-old4018.logowik.com.webp,,,
Inditex,"Amancio Ortega, Óscar García Maceiras","116,323",-6,7,https://imgraftmaroc.es/wp-content/uploads/2023/11/WhatsApp-Image-2023-11-19-at-21.16.39_9fbe9fd0.jpg,,,
British American Tobacco,"James Buchanan Duke (deceased), Tadeu Marroco","52,077",-42,26,https://companieslogo.com/img/orig/BTI.D-e6d688b1.png?t=1720244491,TRUE,,
US Foods Holding,David E. Flitman,"29,000",39,6,https://companieslogo.com/img/orig/USFD_BIG.D-cff4ee46.png?t=1720244494,TRUE,,
Sompo Holdings,Kengo Sakurada,"49,057",-64,27,https://seeklogo.com/images/S/sompo-logo-4DA4A389C2-seeklogo.com.png,,,
Magnit,"Sergei Galitsky, Jan Dunning","361,000",–,1,https://www.matternow.com/wp-content/uploads/2023/03/magnit-tm-logo-rev-white.png,TRUE,,
Warner Bros. Discovery,David Zaslav,"37,500",–,1,https://seeklogo.com/images/W/warner-bros-logo-24B3882E2B-seeklogo.com.png,,,
Lennar,"Leonard Miller (deceased), Arnold P. Rosen (deceased), Stuart Miller","12,012",–,3,https://app.cdn.lookbookhq.com/lbhq-production/186/thumbnails/original/fb6ff897-fc6d-4a2a-a9a2-96e7e2174b30.png,TRUE,,
Shanghai Delong Steel Group,Ding Liguo,"46,403",18,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5RLq4dannBgTc0iXRH6behgzJSjZP2Fd9RhgtFw-hVpnbGNdkMhts_uMO0KJx2hHKcy8&usqp=CAU,,,
La Poste,Philippe Wahl,"121,033",-74,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQe0jh_M3Kx7lOtDB30Jl4FcAxaKxwaxdhiJw&s,,,
CK Hutchison Holdings,"Li Ka-shing, Victor Li Tzar-kuoi","300,000",-60,8,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Cheung_Kong_Holdings.svg/220px-Cheung_Kong_Holdings.svg.png,,,
Fomento Económico Mexicano,Eduardo Padilla Silva,"354,309",–,4,https://companieslogo.com/img/orig/FMX.D-1fe5d520.png?t=1720244491,TRUE,,
D.R. Horton,"Donald R. Horton (deceased), Mr. Romanowsk","13,237",–,3,https://fifthwall.com/system/uploads/fae/image/asset/365/L1_DRH-CO_Logo_White_1500W.png,TRUE,,
Jabil,"James Golden (deceased), William Morean (deceased), Kenny Wilson","250,000",34,3,https://www.tramatm.com/_next/image?url=https%3A%2F%2Ftrama-static.s3.eu-central-1.amazonaws.com%2Fimages%2Fhall-of-fame%2Flogos%2F172-logo.png&w=3840&q=75,TRUE,,
Samsung C&T,"Lee Byung-chul (deceased),Sechul Oh","17,647",17,7,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSp8wXdEyqqlFM2bNQhI0xxmYvrcGR83O5KYRv3G2tIAEk4oyr6,,,
Cheniere Energy,"Charif Souki (deceased), Martin Houston (deceased), Jack Fusco","1,551",–,1,https://www.tramatm.com/_next/image?url=https%3A%2F%2Ftrama-static.s3.eu-central-1.amazonaws.com%2Fimages%2Fhall-of-fame%2Flogos%2F173-logo.png&w=3840&q=75,TRUE,,
CRH,"Tom and Donal Roche, Albert Manifold","75,800",1,20,https://www.shutterstock.com/image-vector/crh-logo-design-inspiration-unique-600nw-2340551657.jpg,,,
Linde,"Carl von Linde (deceased), Sanjiv Lamba","65,010",3,4,https://cdn.freebiesupply.com/logos/large/2x/linde-logo-black-and-white.png,,,
DSV,"Leif Tullberg, Jens Bjørn Anderse","76,283",35,2,https://dashboards.dsv.com/img/dsv-logo.png,TRUE,,
